Hour Ending,NORTH
1/7/2021 11:00:00,890.832812
1/7/2021 12:00:00,869.715334
1/7/2021 13:00:00,845.493784
1/7/2021 14:00:00,839.611067
1/7/2021 15:00:00,838.695174
1/7/2021 16:00:00,838.38263
1/7/2021 17:00:00,842.149145
1/7/2021 18:00:00,867.880017
1/7/2021 19:00:00,897.522589
1/7/2021 20:00:00,894.571329
1/7/2021 21:00:00,880.52405
1/7/2021 22:00:00,853.239532
1/7/2021 23:00:00,816.128109
1/8/2021 0:00:00,786.585671
1/8/2021 1:00:00,767.429218
1/8/2021 2:00:00,758.637321
1/8/2021 3:00:00,761.776337
1/8/2021 4:00:00,770.378369
1/8/2021 5:00:00,789.500388
1/8/2021 6:00:00,830.142284
1/8/2021 7:00:00,894.654779
1/8/2021 8:00:00,931.798801
1/8/2021 9:00:00,942.778696
1/8/2021 10:00:00,942.243924
1/8/2021 11:00:00,939.805473
1/8/2021 12:00:00,917.22879
1/8/2021 13:00:00,877.714911
1/8/2021 14:00:00,851.986809
1/8/2021 15:00:00,821.331029
1/8/2021 16:00:00,804.893965
1/8/2021 17:00:00,811.946317
1/8/2021 18:00:00,844.018927
1/8/2021 19:00:00,895.10764
1/8/2021 20:00:00,906.313275
1/8/2021 21:00:00,913.736739
1/8/2021 22:00:00,905.884779
1/8/2021 23:00:00,884.249094
1/9/2021 0:00:00,868.02081
1/9/2021 1:00:00,850.401955
1/9/2021 2:00:00,854.224788
1/9/2021 3:00:00,861.885796
1/9/2021 4:00:00,877.924263
1/9/2021 5:00:00,909.237972
1/9/2021 6:00:00,938.186767
1/9/2021 7:00:00,979.001419
1/9/2021 8:00:00,1012.840848
1/9/2021 9:00:00,1010.334691
1/9/2021 10:00:00,969.513225
1/9/2021 11:00:00,914.592906
1/9/2021 12:00:00,867.129919
1/9/2021 13:00:00,819.581798
1/9/2021 14:00:00,783.271714
1/9/2021 15:00:00,755.848132
1/9/2021 16:00:00,745.763716
1/9/2021 17:00:00,759.897196
1/9/2021 18:00:00,807.410881
1/9/2021 19:00:00,851.883166
1/9/2021 20:00:00,866.252621
1/9/2021 21:00:00,868.944177
1/9/2021 22:00:00,860.665008
1/9/2021 23:00:00,839.297897
1/10/2021 0:00:00,815.911348
1/10/2021 1:00:00,794.534645
1/10/2021 2:00:00,791.578834
1/10/2021 3:00:00,788.018155
1/10/2021 4:00:00,791.4454
1/10/2021 5:00:00,803.682985
1/10/2021 6:00:00,817.286906
1/10/2021 7:00:00,844.872187
1/10/2021 8:00:00,879.562285
1/10/2021 9:00:00,911.843664
1/10/2021 10:00:00,938.272291
1/10/2021 11:00:00,945.906029
1/10/2021 12:00:00,946.186698
1/10/2021 13:00:00,949.512683
1/10/2021 14:00:00,946.610752
1/10/2021 15:00:00,941.718836
1/10/2021 16:00:00,946.465783
1/10/2021 17:00:00,951.559444
1/10/2021 18:00:00,975.418476
1/10/2021 19:00:00,986.833225
1/10/2021 20:00:00,980.113927
1/10/2021 21:00:00,961.407938
1/10/2021 22:00:00,930.801733
1/10/2021 23:00:00,883.58064
1/11/2021 0:00:00,846.174108
1/11/2021 1:00:00,828.215277
1/11/2021 2:00:00,825.415567
1/11/2021 3:00:00,831.023684
1/11/2021 4:00:00,846.421525
1/11/2021 5:00:00,871.330659
1/11/2021 6:00:00,912.953546
1/11/2021 7:00:00,985.251049
1/11/2021 8:00:00,1021.784348
1/11/2021 9:00:00,1018.751638
1/11/2021 10:00:00,1009.16215
1/11/2021 11:00:00,981.104248
1/11/2021 12:00:00,930.820845
1/11/2021 13:00:00,879.510734
1/11/2021 14:00:00,837.697204
1/11/2021 15:00:00,802.685939
1/11/2021 16:00:00,790.551963
1/11/2021 17:00:00,796.013636
1/11/2021 18:00:00,843.995113
1/11/2021 19:00:00,907.470282
1/11/2021 20:00:00,924.207983
1/11/2021 21:00:00,929.525708
1/11/2021 22:00:00,917.917384
1/11/2021 23:00:00,888.178398
1/12/2021 0:00:00,864.538792
1/12/2021 1:00:00,866.107469
1/12/2021 2:00:00,869.636995
1/12/2021 3:00:00,879.532391
1/12/2021 4:00:00,896.225474
1/12/2021 5:00:00,928.120296
1/12/2021 6:00:00,982.114448
1/12/2021 7:00:00,1062.74452
1/12/2021 8:00:00,1099.0025
1/12/2021 9:00:00,1072.66692
1/12/2021 10:00:00,1003.798794
1/12/2021 11:00:00,935.464957
1/12/2021 12:00:00,882.416798
1/12/2021 13:00:00,835.426931
1/12/2021 14:00:00,802.580821
1/12/2021 15:00:00,776.945037
1/12/2021 16:00:00,761.94282
1/12/2021 17:00:00,768.918256
1/12/2021 18:00:00,802.608002
1/12/2021 19:00:00,863.312467
1/12/2021 20:00:00,883.513606
1/12/2021 21:00:00,887.489033
1/12/2021 22:00:00,877.372109
1/12/2021 23:00:00,849.631292
1/13/2021 0:00:00,827.251868
1/13/2021 1:00:00,821.030215
1/13/2021 2:00:00,828.295153
1/13/2021 3:00:00,840.667572
1/13/2021 4:00:00,859.857733
1/13/2021 5:00:00,889.875975
1/13/2021 6:00:00,940.091925
1/13/2021 7:00:00,1025.430289
1/13/2021 8:00:00,1061.52638
1/13/2021 9:00:00,1031.736116
1/13/2021 10:00:00,969.946054
1/13/2021 11:00:00,910.146702
1/13/2021 12:00:00,857.042271
1/13/2021 13:00:00,813.003144
1/13/2021 14:00:00,789.375007
1/13/2021 15:00:00,756.540337
1/13/2021 16:00:00,736.268149
1/13/2021 17:00:00,736.672351
1/13/2021 18:00:00,763.70431
1/13/2021 19:00:00,825.196017
1/13/2021 20:00:00,832.558268
1/13/2021 21:00:00,831.224226
1/13/2021 22:00:00,810.730071
1/13/2021 23:00:00,777.836552
1/14/2021 0:00:00,750.465324
1/14/2021 1:00:00,745.636329
1/14/2021 2:00:00,744.136069
1/14/2021 3:00:00,752.102989
1/14/2021 4:00:00,761.672296
1/14/2021 5:00:00,786.665911
1/14/2021 6:00:00,834.409471
1/14/2021 7:00:00,915.390916
1/14/2021 8:00:00,949.735772
1/14/2021 9:00:00,938.531405
1/14/2021 10:00:00,903.431852
1/14/2021 11:00:00,870.617971
1/14/2021 12:00:00,836.57878
1/14/2021 13:00:00,807.857512
1/14/2021 14:00:00,790.924342
1/14/2021 15:00:00,780.357688
1/14/2021 16:00:00,749.129714
1/14/2021 17:00:00,752.649751
1/14/2021 18:00:00,788.51212
1/14/2021 19:00:00,841.727641
1/14/2021 20:00:00,854.72267
1/14/2021 21:00:00,853.701095
1/14/2021 22:00:00,836.945236
1/14/2021 23:00:00,810.157875
1/15/2021 0:00:00,788.88431
1/15/2021 1:00:00,771.62015
1/15/2021 2:00:00,771.421375
1/15/2021 3:00:00,774.883297
1/15/2021 4:00:00,785.921791
1/15/2021 5:00:00,812.021056
1/15/2021 6:00:00,857.71387
1/15/2021 7:00:00,934.538797
1/15/2021 8:00:00,973.843329
1/15/2021 9:00:00,965.022151
1/15/2021 10:00:00,941.254313
1/15/2021 11:00:00,924.972581
1/15/2021 12:00:00,904.737903
1/15/2021 13:00:00,875.614909
1/15/2021 14:00:00,855.793416
1/15/2021 15:00:00,838.031729
1/15/2021 16:00:00,824.92853
1/15/2021 17:00:00,827.479732
1/15/2021 18:00:00,851.04423
1/15/2021 19:00:00,886.097394
1/15/2021 20:00:00,888.512234
1/15/2021 21:00:00,888.211247
1/15/2021 22:00:00,877.515127
1/15/2021 23:00:00,855.167281
1/16/2021 0:00:00,832.468204
1/16/2021 1:00:00,805.733702
1/16/2021 2:00:00,801.909999
1/16/2021 3:00:00,802.47181
1/16/2021 4:00:00,814.730612
1/16/2021 5:00:00,837.871134
1/16/2021 6:00:00,865.917547
1/16/2021 7:00:00,906.538998
1/16/2021 8:00:00,947.213252
1/16/2021 9:00:00,953.522591
1/16/2021 10:00:00,924.879632
1/16/2021 11:00:00,881.201331
1/16/2021 12:00:00,830.390336
1/16/2021 13:00:00,783.23744
1/16/2021 14:00:00,749.829582
1/16/2021 15:00:00,728.230826
1/16/2021 16:00:00,733.096463
1/16/2021 17:00:00,746.42032
1/16/2021 18:00:00,776.717235
1/16/2021 19:00:00,801.47182
1/16/2021 20:00:00,806.107638
1/16/2021 21:00:00,804.154792
1/16/2021 22:00:00,794.766246
1/16/2021 23:00:00,781.055982
1/17/2021 0:00:00,763.087343
1/17/2021 1:00:00,744.913261
1/17/2021 2:00:00,745.687398
1/17/2021 3:00:00,751.593327
1/17/2021 4:00:00,756.603841
1/17/2021 5:00:00,766.60435
1/17/2021 6:00:00,777.172318
1/17/2021 7:00:00,796.041156
1/17/2021 8:00:00,821.944781
1/17/2021 9:00:00,844.329328
1/17/2021 10:00:00,846.321769
1/17/2021 11:00:00,822.570847
1/17/2021 12:00:00,794.809086
