Hour Ending,WEST
1/7/2021 4:00:00,1177.054935
1/7/2021 5:00:00,1219.889537
1/7/2021 6:00:00,1294.589658
1/7/2021 7:00:00,1413.500905
1/7/2021 8:00:00,1478.253278
1/7/2021 9:00:00,1433.574612
1/7/2021 10:00:00,1355.38904
1/7/2021 11:00:00,1279.967758
1/7/2021 12:00:00,1219.935585
1/7/2021 13:00:00,1160.936546
1/7/2021 14:00:00,1115.910761
1/7/2021 15:00:00,1090.28493
1/7/2021 16:00:00,1082.870844
1/7/2021 17:00:00,1094.07423
1/7/2021 18:00:00,1127.922394
1/7/2021 19:00:00,1210.99964
1/7/2021 20:00:00,1238.250766
1/7/2021 21:00:00,1250.610083
1/7/2021 22:00:00,1250.710503
1/7/2021 23:00:00,1222.107377
1/8/2021 0:00:00,1196.610525
1/8/2021 1:00:00,1195.755776
1/8/2021 2:00:00,1202.473058
1/8/2021 3:00:00,1229.444405
1/8/2021 4:00:00,1262.135995
1/8/2021 5:00:00,1315.713428
1/8/2021 6:00:00,1388.640623
1/8/2021 7:00:00,1500.788494
1/8/2021 8:00:00,1567.543028
1/8/2021 9:00:00,1546.786051
1/8/2021 10:00:00,1490.035373
1/8/2021 11:00:00,1442.854882
1/8/2021 12:00:00,1391.627566
1/8/2021 13:00:00,1335.220154
1/8/2021 14:00:00,1286.552251
1/8/2021 15:00:00,1247.056226
1/8/2021 16:00:00,1220.346158
1/8/2021 17:00:00,1220.736818
1/8/2021 18:00:00,1254.376704
1/8/2021 19:00:00,1345.442112
1/8/2021 20:00:00,1378.330219
1/8/2021 21:00:00,1392.899653
1/8/2021 22:00:00,1393.266546
1/8/2021 23:00:00,1357.885537
1/9/2021 0:00:00,1336.018466
1/9/2021 1:00:00,1315.98919
1/9/2021 2:00:00,1327.537242
1/9/2021 3:00:00,1352.312718
1/9/2021 4:00:00,1381.479746
1/9/2021 5:00:00,1413.053882
1/9/2021 6:00:00,1460.405505
1/9/2021 7:00:00,1518.82822
1/9/2021 8:00:00,1576.166506
1/9/2021 9:00:00,1570.723482
1/9/2021 10:00:00,1512.314496
1/9/2021 11:00:00,1431.618193
1/9/2021 12:00:00,1360.274679
1/9/2021 13:00:00,1300.309298
1/9/2021 14:00:00,1259.200358
1/9/2021 15:00:00,1216.387417
1/9/2021 16:00:00,1213.021756
1/9/2021 17:00:00,1235.341294
1/9/2021 18:00:00,1279.280849
1/9/2021 19:00:00,1332.844625
1/9/2021 20:00:00,1339.798554
1/9/2021 21:00:00,1328.627776
1/9/2021 22:00:00,1308.376261
1/9/2021 23:00:00,1270.586105
1/10/2021 0:00:00,1238.290644
1/10/2021 1:00:00,1203.493581
1/10/2021 2:00:00,1194.90024
1/10/2021 3:00:00,1198.469848
1/10/2021 4:00:00,1204.550815
1/10/2021 5:00:00,1228.015405
1/10/2021 6:00:00,1265.849853
1/10/2021 7:00:00,1311.545348
1/10/2021 8:00:00,1370.002158
1/10/2021 9:00:00,1414.284615
1/10/2021 10:00:00,1447.992147
1/10/2021 11:00:00,1464.377649
1/10/2021 12:00:00,1469.089088
1/10/2021 13:00:00,1467.034262
1/10/2021 14:00:00,1455.32338
1/10/2021 15:00:00,1433.964216
1/10/2021 16:00:00,1432.097293
1/10/2021 17:00:00,1447.875725
1/10/2021 18:00:00,1491.451813
1/10/2021 19:00:00,1537.571916
1/10/2021 20:00:00,1532.863761
1/10/2021 21:00:00,1509.781621
1/10/2021 22:00:00,1468.087786
1/10/2021 23:00:00,1412.986395
1/11/2021 0:00:00,1361.562634
1/11/2021 1:00:00,1371.966627
1/11/2021 2:00:00,1360.024852
1/11/2021 3:00:00,1362.415111
1/11/2021 4:00:00,1372.01945
1/11/2021 5:00:00,1400.629865
1/11/2021 6:00:00,1450.129611
1/11/2021 7:00:00,1529.531135
1/11/2021 8:00:00,1592.434903
1/11/2021 9:00:00,1604.260584
1/11/2021 10:00:00,1606.525569
1/11/2021 11:00:00,1580.016614
1/11/2021 12:00:00,1545.397566
1/11/2021 13:00:00,1501.30339
1/11/2021 14:00:00,1447.799703
1/11/2021 15:00:00,1391.31742
1/11/2021 16:00:00,1364.962666
1/11/2021 17:00:00,1371.505916
1/11/2021 18:00:00,1422.44881
1/11/2021 19:00:00,1515.72972
1/11/2021 20:00:00,1535.819905
1/11/2021 21:00:00,1530.180898
1/11/2021 22:00:00,1499.048857
1/11/2021 23:00:00,1456.167689
1/12/2021 0:00:00,1431.972119
1/12/2021 1:00:00,1451.54998
1/12/2021 2:00:00,1465.576683
1/12/2021 3:00:00,1482.563239
1/12/2021 4:00:00,1506.756964
1/12/2021 5:00:00,1546.242837
1/12/2021 6:00:00,1613.441134
1/12/2021 7:00:00,1722.32888
1/12/2021 8:00:00,1781.824441
1/12/2021 9:00:00,1732.85669
1/12/2021 10:00:00,1628.592654
1/12/2021 11:00:00,1517.451569
1/12/2021 12:00:00,1429.185938
1/12/2021 13:00:00,1366.367265
1/12/2021 14:00:00,1313.709955
1/12/2021 15:00:00,1261.904782
1/12/2021 16:00:00,1235.783966
1/12/2021 17:00:00,1241.413355
1/12/2021 18:00:00,1277.309396
1/12/2021 19:00:00,1378.501324
1/12/2021 20:00:00,1420.307065
1/12/2021 21:00:00,1430.878278
1/12/2021 22:00:00,1424.432866
1/12/2021 23:00:00,1392.073946
1/13/2021 0:00:00,1365.369773
1/13/2021 1:00:00,1359.582274
1/13/2021 2:00:00,1373.946349
1/13/2021 3:00:00,1391.238615
1/13/2021 4:00:00,1414.987494
1/13/2021 5:00:00,1456.042918
1/13/2021 6:00:00,1531.304598
1/13/2021 7:00:00,1649.122511
1/13/2021 8:00:00,1701.83304
1/13/2021 9:00:00,1648.361518
1/13/2021 10:00:00,1526.259505
1/13/2021 11:00:00,1397.98596
1/13/2021 12:00:00,1289.60438
1/13/2021 13:00:00,1204.813887
1/13/2021 14:00:00,1136.665545
1/13/2021 15:00:00,1091.604107
1/13/2021 16:00:00,1070.554363
1/13/2021 17:00:00,1069.474665
1/13/2021 18:00:00,1100.524926
1/13/2021 19:00:00,1201.180912
1/13/2021 20:00:00,1238.483391
1/13/2021 21:00:00,1254.494779
1/13/2021 22:00:00,1244.314123
1/13/2021 23:00:00,1209.956402
1/14/2021 0:00:00,1177.390397
1/14/2021 1:00:00,1151.725059
1/14/2021 2:00:00,1154.913635
1/14/2021 3:00:00,1170.895934
1/14/2021 4:00:00,1191.280223
1/14/2021 5:00:00,1231.500483
1/14/2021 6:00:00,1304.637349
1/14/2021 7:00:00,1418.756372
1/14/2021 8:00:00,1476.199085
1/14/2021 9:00:00,1429.601172
1/14/2021 10:00:00,1341.58249
1/14/2021 11:00:00,1263.330176
1/14/2021 12:00:00,1208.970818
1/14/2021 13:00:00,1163.02957
1/14/2021 14:00:00,1116.092304
1/14/2021 15:00:00,1073.400289
1/14/2021 16:00:00,1054.731628
1/14/2021 17:00:00,1063.325615
1/14/2021 18:00:00,1103.576225
1/14/2021 19:00:00,1198.075369
1/14/2021 20:00:00,1227.81397
1/14/2021 21:00:00,1234.577706
1/14/2021 22:00:00,1239.170023
1/14/2021 23:00:00,1218.843192
1/15/2021 0:00:00,1200.481676
1/15/2021 1:00:00,1259.748583
1/15/2021 2:00:00,1274.965349
1/15/2021 3:00:00,1300.763816
1/15/2021 4:00:00,1332.642782
