Hour Ending,SOUTH
1/7/2021 3:00:00,2398.32227
1/7/2021 4:00:00,2413.205936
1/7/2021 5:00:00,2496.775477
1/7/2021 6:00:00,2698.813008
1/7/2021 7:00:00,3033.542407
1/7/2021 8:00:00,3276.768545
1/7/2021 9:00:00,3294.506198
1/7/2021 10:00:00,3214.291821
1/7/2021 11:00:00,3083.73211
1/7/2021 12:00:00,2981.806489
1/7/2021 13:00:00,2910.447947
1/7/2021 14:00:00,2868.517464
1/7/2021 15:00:00,2863.421552
1/7/2021 16:00:00,2867.399591
1/7/2021 17:00:00,2884.398371
1/7/2021 18:00:00,2906.802135
1/7/2021 19:00:00,3084.177287
1/7/2021 20:00:00,3123.16446
1/7/2021 21:00:00,3122.470085
1/7/2021 22:00:00,3089.313764
1/7/2021 23:00:00,2990.449276
1/8/2021 0:00:00,2863.942011
1/8/2021 1:00:00,2807.985682
1/8/2021 2:00:00,2764.710105
1/8/2021 3:00:00,2783.912416
1/8/2021 4:00:00,2833.924397
1/8/2021 5:00:00,2946.199974
1/8/2021 6:00:00,3166.818513
1/8/2021 7:00:00,3519.10849
1/8/2021 8:00:00,3752.725441
1/8/2021 9:00:00,3750.638457
1/8/2021 10:00:00,3596.681826
1/8/2021 11:00:00,3402.714723
1/8/2021 12:00:00,3226.179478
1/8/2021 13:00:00,3078.385489
1/8/2021 14:00:00,2988.617242
1/8/2021 15:00:00,2940.447444
1/8/2021 16:00:00,2900.272374
1/8/2021 17:00:00,2903.85445
1/8/2021 18:00:00,2953.586344
1/8/2021 19:00:00,3173.579207
1/8/2021 20:00:00,3243.463425
1/8/2021 21:00:00,3268.01077
1/8/2021 22:00:00,3273.674457
1/8/2021 23:00:00,3239.60928
1/9/2021 0:00:00,3175.229638
1/9/2021 1:00:00,3081.542688
1/9/2021 2:00:00,3051.012695
1/9/2021 3:00:00,3047.184258
1/9/2021 4:00:00,3057.453778
1/9/2021 5:00:00,3082.108885
1/9/2021 6:00:00,3160.547085
1/9/2021 7:00:00,3283.517664
1/9/2021 8:00:00,3392.944641
1/9/2021 9:00:00,3473.124524
1/9/2021 10:00:00,3508.243442
1/9/2021 11:00:00,3502.26411
1/9/2021 12:00:00,3460.193898
1/9/2021 13:00:00,3392.21336
1/9/2021 14:00:00,3354.711841
1/9/2021 15:00:00,3312.482457
1/9/2021 16:00:00,3291.106697
1/9/2021 17:00:00,3306.16468
1/9/2021 18:00:00,3380.927801
1/9/2021 19:00:00,3512.825003
1/9/2021 20:00:00,3500.324489
1/9/2021 21:00:00,3443.547945
1/9/2021 22:00:00,3362.12412
1/9/2021 23:00:00,3255.150635
1/10/2021 0:00:00,3133.213532
1/10/2021 1:00:00,3012.705113
1/10/2021 2:00:00,2907.827957
1/10/2021 3:00:00,2843.188641
1/10/2021 4:00:00,2783.264415
1/10/2021 5:00:00,2760.991486
