Hour Ending,NCENT
1/7/2021 3:00:00,11218.524903
1/7/2021 4:00:00,11289.382823
1/7/2021 5:00:00,11687.242146
1/7/2021 6:00:00,12582.860105
1/7/2021 7:00:00,13845.745482
1/7/2021 8:00:00,14595.636645
1/7/2021 9:00:00,14677.685234
1/7/2021 10:00:00,14647.0169
1/7/2021 11:00:00,14513.760352
1/7/2021 12:00:00,14306.339417
1/7/2021 13:00:00,14050.291171
1/7/2021 14:00:00,13841.755215
1/7/2021 15:00:00,13601.627718
1/7/2021 16:00:00,13489.115887
1/7/2021 17:00:00,13691.776292
1/7/2021 18:00:00,14328.490788
1/7/2021 19:00:00,14828.920703
1/7/2021 20:00:00,14774.358874
1/7/2021 21:00:00,14574.830274
1/7/2021 22:00:00,14040.592171
1/7/2021 23:00:00,13274.819001
1/8/2021 0:00:00,12557.13085
1/8/2021 1:00:00,12082.743108
1/8/2021 2:00:00,11812.690224
1/8/2021 3:00:00,11784.851418
1/8/2021 4:00:00,11907.80431
1/8/2021 5:00:00,12294.502623
1/8/2021 6:00:00,13174.15849
1/8/2021 7:00:00,14383.414451
1/8/2021 8:00:00,15175.732819
1/8/2021 9:00:00,15396.784271
1/8/2021 10:00:00,15473.522928
1/8/2021 11:00:00,15472.6725
1/8/2021 12:00:00,15215.822303
1/8/2021 13:00:00,14603.242719
1/8/2021 14:00:00,13754.949799
1/8/2021 15:00:00,13077.043008
1/8/2021 16:00:00,12794.578451
1/8/2021 17:00:00,12869.551494
1/8/2021 18:00:00,13636.954011
1/8/2021 19:00:00,14556.76656
1/8/2021 20:00:00,14695.010686
1/8/2021 21:00:00,14763.959925
1/8/2021 22:00:00,14638.904859
1/8/2021 23:00:00,14306.093352
1/9/2021 0:00:00,14016.252634
1/9/2021 1:00:00,13664.993817
1/9/2021 2:00:00,13650.179698
1/9/2021 3:00:00,13816.777816
1/9/2021 4:00:00,14094.186763
1/9/2021 5:00:00,14494.515171
1/9/2021 6:00:00,15094.870398
1/9/2021 7:00:00,15891.058216
1/9/2021 8:00:00,16669.313286
1/9/2021 9:00:00,16681.44365
