unique_id,timestamp,value
COAST,2021-07-26 15:00:00,20397.1
COAST,2021-07-26 16:00:00,20688.27
COAST,2021-07-26 17:00:00,20836.9
COAST,2021-07-26 18:00:00,20753.9
COAST,2021-07-26 19:00:00,20365.95
COAST,2021-07-26 20:00:00,19732.92
COAST,2021-07-26 21:00:00,18960.76
COAST,2021-07-26 22:00:00,18208.7
COAST,2021-07-26 23:00:00,17132.25
COAST,2021-07-27 00:00:00,16073.67
COAST,2021-07-27 01:00:00,15212.98
COAST,2021-07-27 02:00:00,14528.57
COAST,2021-07-27 03:00:00,14005.08
COAST,2021-07-27 04:00:00,13692.95
COAST,2021-07-27 05:00:00,13632.99
COAST,2021-07-27 06:00:00,13831.65
COAST,2021-07-27 07:00:00,14045.23
COAST,2021-07-27 08:00:00,14223.72
COAST,2021-07-27 09:00:00,14858.8
COAST,2021-07-27 10:00:00,15702.2
COAST,2021-07-27 11:00:00,16701.15
COAST,2021-07-27 12:00:00,17621.11
COAST,2021-07-27 13:00:00,18567.14
COAST,2021-07-27 14:00:00,19563.11
COAST,2021-07-27 15:00:00,20104.31
COAST,2021-07-27 16:00:00,20310.41
COAST,2021-07-27 17:00:00,20318.37
COAST,2021-07-27 18:00:00,20017.27
COAST,2021-07-27 19:00:00,19306.36
COAST,2021-07-27 20:00:00,18454.32
COAST,2021-07-27 21:00:00,17828.86
COAST,2021-07-27 22:00:00,17117.41
COAST,2021-07-27 23:00:00,15961.07
COAST,2021-07-28 00:00:00,14882.12
COAST,2021-07-28 01:00:00,14009.12
COAST,2021-07-28 02:00:00,13292.74
COAST,2021-07-28 03:00:00,12788.23
COAST,2021-07-28 04:00:00,12489.63
COAST,2021-07-28 05:00:00,12433.13
COAST,2021-07-28 06:00:00,12705.23
COAST,2021-07-28 07:00:00,12973.83
COAST,2021-07-28 08:00:00,13264.01
COAST,2021-07-28 09:00:00,14152.68
COAST,2021-07-28 10:00:00,15301.44
COAST,2021-07-28 11:00:00,16638.08
COAST,2021-07-28 12:00:00,17941.23
COAST,2021-07-28 13:00:00,18985.48
COAST,2021-07-28 14:00:00,19789.42
COAST,2021-07-28 15:00:00,20285.5
COAST,2021-07-28 16:00:00,20654.9
COAST,2021-07-28 17:00:00,20845.42
COAST,2021-07-28 18:00:00,20624.85
COAST,2021-07-28 19:00:00,20027.51
COAST,2021-07-28 20:00:00,19363.7
COAST,2021-07-28 21:00:00,18771.33
COAST,2021-07-28 22:00:00,18094.92
COAST,2021-07-28 23:00:00,17095.61
COAST,2021-07-29 00:00:00,16054.22
COAST,2021-07-29 01:00:00,15314.09
COAST,2021-07-29 02:00:00,14653.56
COAST,2021-07-29 03:00:00,14178.78
COAST,2021-07-29 04:00:00,13887.95
COAST,2021-07-29 05:00:00,13774.8
COAST,2021-07-29 06:00:00,13987.6
COAST,2021-07-29 07:00:00,14231.78
COAST,2021-07-29 08:00:00,14460.3
COAST,2021-07-29 09:00:00,15258.29
COAST,2021-07-29 10:00:00,16423.4
COAST,2021-07-29 11:00:00,17686.7
COAST,2021-07-29 12:00:00,18831.58
COAST,2021-07-29 13:00:00,19746.16
COAST,2021-07-29 14:00:00,20524.15
COAST,2021-07-29 15:00:00,20860.26
COAST,2021-07-29 16:00:00,20900.11
COAST,2021-07-29 17:00:00,20680.53
COAST,2021-07-29 18:00:00,20304.7
COAST,2021-07-29 19:00:00,19487.7
COAST,2021-07-29 20:00:00,18799.67
COAST,2021-07-29 21:00:00,18314.69
COAST,2021-07-29 22:00:00,17684.85
COAST,2021-07-29 23:00:00,16782.81
COAST,2021-07-30 00:00:00,15815.05
COAST,2021-07-30 01:00:00,14928.42
COAST,2021-07-30 02:00:00,14338.76
COAST,2021-07-30 03:00:00,13850.2
COAST,2021-07-30 04:00:00,13536.01
COAST,2021-07-30 05:00:00,13450.48
COAST,2021-07-30 06:00:00,13645.99
COAST,2021-07-30 07:00:00,13844.63
COAST,2021-07-30 08:00:00,14024.63
COAST,2021-07-30 09:00:00,14837.6
COAST,2021-07-30 10:00:00,15991.28
COAST,2021-07-30 11:00:00,17211.12
COAST,2021-07-30 12:00:00,18360.14
COAST,2021-07-30 13:00:00,19281.13
COAST,2021-07-30 14:00:00,20008.72
COAST,2021-07-30 15:00:00,20423.58
COAST,2021-07-30 16:00:00,20543.85
COAST,2021-07-30 17:00:00,20085.12
COAST,2021-07-30 18:00:00,18852.71
COAST,2021-07-30 19:00:00,17673.15
COAST,2021-07-30 20:00:00,17037.13
COAST,2021-07-30 21:00:00,16688.41
COAST,2021-07-30 22:00:00,16274.22
COAST,2021-07-30 23:00:00,15553.09
COAST,2021-07-31 00:00:00,14809.88
COAST,2021-07-31 01:00:00,14153.47
COAST,2021-07-31 02:00:00,13606.31
COAST,2021-07-31 03:00:00,13215.88
COAST,2021-07-31 04:00:00,12925.76
COAST,2021-07-31 05:00:00,12771.27
COAST,2021-07-31 06:00:00,12774.3
COAST,2021-07-31 07:00:00,12804.08
COAST,2021-07-31 08:00:00,12952.79
COAST,2021-07-31 09:00:00,13978.33
COAST,2021-07-31 10:00:00,15303.69
COAST,2021-07-31 11:00:00,16522.02
COAST,2021-07-31 12:00:00,17517.58
COAST,2021-07-31 13:00:00,18347.33
COAST,2021-07-31 14:00:00,19018.51
COAST,2021-07-31 15:00:00,19436.33
COAST,2021-07-31 16:00:00,19444.81
COAST,2021-07-31 17:00:00,19209.41
COAST,2021-07-31 18:00:00,18984.4
COAST,2021-07-31 19:00:00,18696.44
COAST,2021-07-31 20:00:00,18243.9
COAST,2021-07-31 21:00:00,17829.85
COAST,2021-07-31 22:00:00,17274.16
COAST,2021-07-31 23:00:00,16447.05
COAST,2021-08-01 00:00:00,15657.95
COAST,2021-08-01 01:00:00,15038.23
COAST,2021-08-01 02:00:00,14406.91
COAST,2021-08-01 03:00:00,13857.35
COAST,2021-08-01 04:00:00,13430.36
COAST,2021-08-01 05:00:00,13146.03
COAST,2021-08-01 06:00:00,13028.6
COAST,2021-08-01 07:00:00,12912.39
COAST,2021-08-01 08:00:00,12882.48
COAST,2021-08-01 09:00:00,13702.4
COAST,2021-08-01 10:00:00,14906.64
COAST,2021-08-01 11:00:00,16169.69
COAST,2021-08-01 12:00:00,17309.6
COAST,2021-08-01 13:00:00,18220.8
